Vfuente	Vmed	I    Z	        Psi	        L
50	0.4900	1.0513	0.4661	0.0022	1.4836
80	0.7900	1.6918	0.4670	0.0036	1.4864
110	1.0900	2.3096	0.4719	0.0049	1.5022
130	1.2900	2.7274	0.4730	0.0058	1.5055
140	1.3900	2.9353	0.4735	0.0063	1.5073
160	1.6000	3.3507	0.4775	0.0072	1.5200
180	1.8000	3.7639	0.4782	0.0081	1.5222
200	2.0000	4.1749	0.4791	0.0090	1.5249
210	2.1000	4.3768	0.4798	0.0095	1.5273
220	2.1900	4.5778	0.4784	0.0099	1.5228
230	2.2900	4.7785	0.4792	0.0103	1.5254
240	2.3900	4.9770	0.4802	0.0108	1.5286
