Vfuente	Vmed	Imed	FP	R	X	L
1.5	1.3300	1.3000	0.8410	0.8604	0.5535	1.7619
2	1.8800	1.8300	0.8410	0.8640	0.5558	1.7692
2.5	2.3400	2.2800	0.8410	0.8631	0.5553	1.7675
3	2.8000	2.7300	0.8410	0.8626	0.5549	1.7663
3.5	3.2600	3.2100	0.8410	0.8541	0.5495	1.7490
4	3.8200	3.7200	0.8410	0.8636	0.5556	1.7685
4.5	4.2800	4.1700	0.8410	0.8632	0.5553	1.7676
5	4.7500	4.6200	0.8410	0.8647	0.5563	1.7706
5.5	5.2400	5.1300	0.8410	0.8590	0.5526	1.7591
6	5.7700	5.6000	0.8410	0.8665	0.5575	1.7744
6.5	6.2300	6.0500	0.8420	0.8671	0.5555	1.7683
7	6.7200	6.5100	0.8420	0.8692	0.5569	1.7726
7.5	7.1800	6.9500	0.8420	0.8699	0.5573	1.7740
8	7.7100	7.4600	0.8420	0.8702	0.5576	1.7748
